ID,Year_Birth,Age,Age_Category,Education,Marital_Status,Income,Income_Category,Kidhome,Teenhome,Child,Dt_Customer,Recency,Complain,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Purchases,NumDealsPurchases,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Accepted_Cmp,Response,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
5524,1957.0,57.0,Retirement,Graduate,Single,58138,Middle Income,0,0,No,2012-09-04,58,0,635,88,546,172,88,88,1617,3,0,0,0,0,0,No,1,8,10,4,7
2174,1954.0,60.0,Retirement,Graduate,Single,46344,Middle Income,1,1,Yes,2014-03-08,38,0,11,1,6,2,1,6,27,2,0,0,0,0,0,No,0,1,1,2,5
4141,1965.0,49.0,Pre-retirement,Graduate,Relationship,71613,Upper Income,0,0,No,2013-08-21,26,0,426,49,127,111,21,42,776,1,0,0,0,0,0,No,0,8,2,10,4
6182,1984.0,30.0,Early worker,Graduate,Relationship,26646,Low Income,1,0,Yes,2014-02-10,26,0,11,4,20,10,3,5,53,2,0,0,0,0,0,No,0,2,0,4,6
5324,1981.0,33.0,Early worker,Postgraduate,Relationship,58293,Middle Income,1,0,Yes,2014-01-19,94,0,173,43,118,46,27,15,422,5,0,0,0,0,0,No,0,5,3,6,5
7446,1967.0,47.0,Pre-retirement,Postgraduate,Relationship,62513,Middle Income,0,1,Yes,2013-09-09,16,0,520,42,98,0,42,14,716,2,0,0,0,0,0,No,0,6,4,10,6
965,1971.0,43.0,Middle-aged,Graduate,Single,55635,Middle Income,0,1,Yes,2012-11-13,34,0,235,65,164,50,49,27,590,4,0,0,0,0,0,No,0,7,3,7,6
6177,1985.0,29.0,Early worker,Postgraduate,Relationship,33454,Low Income,1,0,Yes,2013-05-08,32,0,76,10,56,3,1,23,169,2,0,0,0,0,0,No,0,4,0,4,8
4855,1974.0,40.0,Middle-aged,Postgraduate,Relationship,30351,Low Income,1,0,Yes,2013-06-06,19,0,14,0,24,3,3,2,46,1,0,0,0,0,0,No,1,3,0,2,9
5899,1950.0,64.0,Retirement,Postgraduate,Relationship,5648,Low Income,1,1,Yes,2014-03-13,68,0,28,0,6,1,1,13,49,1,0,0,1,0,0,Yes,0,1,0,0,20
1994,1983.0,31.0,Early worker,Graduate,Relationship,52028,Middle Income,1,0,Yes,2013-11-15,11,0,5,5,6,0,2,1,19,1,0,0,0,0,0,No,0,1,0,2,7
387,1976.0,38.0,Middle-aged,Graduate,Relationship,7500,Low Income,0,0,No,2012-11-13,59,0,6,16,11,11,1,16,61,1,0,0,0,0,0,No,0,2,0,3,8
2125,1959.0,55.0,Retirement,Graduate,Single,63033,Middle Income,0,0,No,2013-11-15,82,0,194,61,480,225,112,30,1102,1,0,0,0,0,0,No,0,3,4,8,2
8180,1952.0,62.0,Retirement,Postgraduate,Single,59354,Middle Income,1,1,Yes,2013-11-15,53,0,233,2,53,3,5,14,310,3,0,0,0,0,0,No,0,6,1,5,6
2569,1987.0,27.0,Early worker,Graduate,Relationship,17323,Low Income,0,0,No,2012-10-10,38,0,3,14,17,6,1,5,46,1,0,0,0,0,0,No,0,1,0,3,8
2114,1946.0,68.0,Elderly,Postgraduate,Single,82800,Upper Income,0,0,No,2012-11-24,23,0,1006,22,115,59,68,45,1315,1,1,0,0,0,1,Yes,1,7,6,12,3
9736,1980.0,34.0,Early worker,Graduate,Relationship,41850,Middle Income,1,1,Yes,2012-12-24,51,0,53,5,19,2,13,4,96,3,0,0,0,0,0,No,0,3,0,3,8
4939,1946.0,68.0,Elderly,Graduate,Relationship,37760,Middle Income,0,0,No,2012-08-31,20,0,84,5,38,150,12,28,317,2,0,0,0,0,0,No,0,4,1,6,7
6565,1949.0,65.0,Elderly,Postgraduate,Relationship,76995,Upper Income,0,1,Yes,2013-03-28,91,0,1012,80,498,0,16,176,1782,2,1,0,0,0,0,Yes,0,11,4,9,5
2278,1985.0,29.0,Early worker,Postgraduate,Single,33812,Low Income,1,0,Yes,2012-11-03,86,0,4,17,19,30,24,39,133,2,0,0,0,0,0,No,0,2,1,3,6
9360,1982.0,32.0,Early worker,Graduate,Relationship,37040,Middle Income,0,0,No,2012-08-08,41,0,86,2,73,69,38,48,316,1,0,0,0,0,0,No,0,4,2,5,8
5376,1979.0,35.0,Middle-aged,Graduate,Relationship,2447,Low Income,1,0,Yes,2013-01-06,42,0,1,1,1725,1,1,1,1730,15,0,0,0,0,0,No,0,0,28,0,1
1993,1949.0,65.0,Elderly,Postgraduate,Relationship,58607,Middle Income,0,1,Yes,2012-12-23,63,0,867,0,86,0,0,19,972,3,0,0,0,1,0,Yes,0,2,3,9,8
4047,1954.0,60.0,Retirement,Postgraduate,Relationship,65324,Middle Income,0,1,Yes,2014-01-11,0,0,384,0,102,21,32,5,544,3,0,0,0,0,0,No,0,6,2,9,4
